Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
R04,4.24E+12,1.03E+13,1.62E+13,2.11E+13,2.61E+13,2.86E+13,2.84E+13,2.59E+13,2.08E+13,1.59E+13,1.01E+13,4.15E+12
R05,5.21E+12,1.25E+13,1.83E+13,2.19E+13,2.98E+13,3.29E+13,3.28E+13,2.95E+13,2.16E+13,1.81E+13,1.24E+13,5.14E+12
R06,6.00E+12,1.44E+13,2.09E+13,2.48E+13,3.27E+13,3.59E+13,3.57E+13,3.24E+13,2.45E+13,2.06E+13,1.41E+13,5.89E+12
R07,6.54E+12,1.57E+13,2.37E+13,2.97E+13,3.48E+13,3.75E+13,3.73E+13,3.44E+13,2.94E+13,2.36E+13,1.56E+13,6.50E+12
R08,6.97E+12,1.68E+13,2.56E+13,3.18E+13,3.58E+13,3.82E+13,3.80E+13,3.55E+13,3.15E+13,2.52E+13,1.65E+13,6.87E+12
R09,7.13E+12,1.70E+13,2.60E+13,3.22E+13,3.57E+13,3.80E+13,3.78E+13,3.54E+13,3.21E+13,2.61E+13,1.72E+13,7.18E+12
R10,7.37E+12,1.76E+13,2.64E+13,3.21E+13,3.55E+13,3.78E+13,3.77E+13,3.52E+13,3.17E+13,2.59E+13,1.72E+13,7.20E+12
R11,7.32E+12,1.74E+13,2.58E+13,3.15E+13,3.52E+13,3.77E+13,3.76E+13,3.50E+13,3.14E+13,2.59E+13,1.75E+13,7.35E+12
R12,7.41E+12,1.76E+13,2.61E+13,3.15E+13,3.52E+13,3.77E+13,3.75E+13,3.49E+13,3.13E+13,2.56E+13,1.72E+13,7.25E+12
R13,7.24E+12,1.72E+13,2.60E+13,3.18E+13,3.53E+13,3.76E+13,3.75E+13,3.51E+13,3.17E+13,2.61E+13,1.73E+13,7.27E+12
