Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
K05,5.34676E+12,1.27599E+13,1.85645E+13,2.14514E+13,2.69587E+13,2.93142E+13,2.92145E+13,2.67159E+13,2.11371E+13,1.81215E+13,1.23712E+13,5.19214E+12
K06,5.63979E+12,1.3321E+13,1.92168E+13,2.19138E+13,2.6895E+13,2.90342E+13,2.88691E+13,2.64896E+13,2.16157E+13,1.91387E+13,1.33094E+13,5.60812E+12
K07,5.94671E+12,1.4075E+13,2.06969E+13,2.43246E+13,2.63981E+13,2.78752E+13,2.76288E+13,2.56617E+13,2.37102E+13,2.01477E+13,1.36314E+13,5.76623E+12
K08,6.00603E+12,1.41633E+13,2.10367E+13,2.4822E+13,2.60725E+13,2.72374E+13,2.69911E+13,2.53599E+13,2.44006E+13,2.10041E+13,1.42278E+13,6.01143E+12
K09,6.18003E+12,1.4567E+13,2.13685E+13,2.48427E+13,2.59067E+13,2.72081E+13,2.70432E+13,2.54959E+13,2.43775E+13,2.08487E+13,1.41345E+13,6.0077E+12
K10,6.11864E+12,1.43024E+13,2.06948E+13,2.40172E+13,2.58189E+13,2.74397E+13,2.73458E+13,2.56147E+13,2.38762E+13,2.0756E+13,1.44133E+13,6.14567E+12
K11,6.20914E+12,1.4474E+13,2.00551E+13,2.1775E+13,2.59601E+13,2.79429E+13,2.78929E+13,2.58333E+13,2.1557E+13,1.96663E+13,1.41212E+13,6.0789E+12
K12,6.11333E+12,1.41913E+13,1.97364E+13,2.15988E+13,2.58433E+13,2.78518E+13,2.78251E+13,2.57897E+13,2.15881E+13,1.98751E+13,1.43388E+13,6.14916E+12
K13,6.15616E+12,1.44228E+13,2.07295E+13,2.38047E+13,2.5494E+13,2.71615E+13,2.71522E+13,2.54541E+13,2.36474E+13,2.03942E+13,1.4102E+13,6.03296E+12
K14,5.99868E+12,1.40927E+13,2.07394E+13,2.42041E+13,2.52608E+13,2.67258E+13,2.67258E+13,2.52585E+13,2.42617E+13,2.09497E+13,1.43037E+13,6.07004E+12
K15,5.98458E+12,1.41417E+13,2.08264E+13,2.41465E+13,2.50363E+13,2.65667E+13,2.65676E+13,2.50214E+13,2.40238E+13,2.05281E+13,1.38532E+13,5.87722E+12
K16,5.72863E+12,1.35175E+13,1.99294E+13,2.34053E+13,2.52686E+13,2.71252E+13,2.71273E+13,2.52794E+13,2.34841E+13,2.01555E+13,1.37416E+13,5.80872E+12
K17,5.56072E+12,1.31782E+13,1.89066E+13,2.13072E+13,2.60473E+13,2.83177E+13,2.83203E+13,2.6046E+13,2.12457E+13,1.87093E+13,1.29898E+13,5.50142E+12
K18,5.142E+12,1.22368E+13,1.78847E+13,2.08144E+13,2.6252E+13,2.8654E+13,2.86568E+13,2.62671E+13,2.08856E+13,1.80933E+13,1.24431E+13,5.2146E+12
K19,4.6774E+12,1.13193E+13,1.74266E+13,2.19907E+13,2.60046E+13,2.80507E+13,2.8053E+13,2.60084E+13,2.1974E+13,1.73571E+13,1.12557E+13,4.66298E+12
K20,3.92305E+12,9.61841E+12,1.54711E+13,2.02233E+13,2.37352E+13,2.54631E+13,2.54644E+13,2.374E+13,2.02416E+13,1.55385E+13,9.68548E+12,3.94321E+12
K21,3.0083E+12,7.52016E+12,1.26219E+13,1.68951E+13,1.98645E+13,2.12871E+13,2.12875E+13,1.98589E+13,1.68544E+13,1.25289E+13,7.43298E+12,2.97619E+12
K22,1.79191E+12,4.59051E+12,8.37573E+12,1.18107E+13,1.40634E+13,1.5109E+13,1.51091E+13,1.40627E+13,1.18099E+13,8.38418E+12,4.60456E+12,1.79757E+12
